IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
104.18.54.58,4,4,0.00,156.29,13.10
162.159.243.17,4,4,0.00,159.37,12.91
104.18.62.29,4,4,0.00,158.31,12.90
162.159.246.1,4,4,0.00,148.65,12.86
104.19.248.152,4,4,0.00,157.42,12.85
104.18.27.191,4,4,0.00,156.30,12.85
104.19.31.54,4,4,0.00,158.07,12.66
104.19.128.89,4,4,0.00,159.25,12.32
141.101.120.168,4,4,0.00,153.21,6.69
173.245.49.2,4,4,0.00,153.79,0.00
